Time,T6
0.0,27
0.00390625,32
0.0078125,36
0.01171875,35
0.015625,29
0.01953125,19
0.0234375,8
0.02734375,0
0.03125,-6
0.03515625,-10
0.0390625,-9
0.04296875,0
0.046875,12
0.05078125,19
0.0546875,19
0.05859375,15
0.0625,9
0.06640625,4
0.0703125,4
0.07421875,10
0.078125,17
0.08203125,16
0.0859375,6
0.08984375,-8
0.09375,-16
0.09765625,-17
0.1015625,-13
0.10546875,-7
0.109375,-2
0.11328125,1
0.1171875,1
0.12109375,-1
0.125,-4
0.12890625,-3
0.1328125,3
0.13671875,10
0.140625,17
0.14453125,20
0.1484375,18
0.15234375,13
0.15625,7
0.16015625,-1
0.1640625,-12
0.16796875,-26
0.171875,-40
0.17578125,-49
0.1796875,-51
0.18359375,-44
0.1875,-31
0.19140625,-13
0.1953125,3
0.19921875,16
0.203125,25
0.20703125,32
0.2109375,38
0.21484375,42
0.21875,46
0.22265625,50
0.2265625,52
0.23046875,53
0.234375,51
0.23828125,44
0.2421875,28
0.24609375,7
0.25,-14
0.25390625,-30
0.2578125,-42
0.26171875,-49
0.265625,-47
0.26953125,-39
0.2734375,-33
0.27734375,-28
0.28125,-17
0.28515625,3
0.2890625,25
0.29296875,44
0.296875,59
0.30078125,72
0.3046875,80
0.30859375,84
0.3125,84
0.31640625,81
0.3203125,71
0.32421875,51
0.328125,24
0.33203125,-3
0.3359375,-25
0.33984375,-41
0.34375,-48
0.34765625,-47
0.3515625,-42
0.35546875,-36
0.359375,-30
0.36328125,-22
0.3671875,-12
0.37109375,2
0.375,17
0.37890625,28
0.3828125,32
0.38671875,31
0.390625,25
0.39453125,19
0.3984375,14
0.40234375,10
0.40625,8
0.41015625,7
0.4140625,5
0.41796875,2
0.421875,1
0.42578125,1
0.4296875,-3
0.43359375,-9
0.4375,-11
0.44140625,-4
0.4453125,6
0.44921875,13
0.453125,16
0.45703125,12
0.4609375,4
0.46484375,-3
0.46875,-1
0.47265625,13
0.4765625,32
0.48046875,49
0.484375,59
0.48828125,64
0.4921875,61
0.49609375,50
0.5,33
0.50390625,12
0.5078125,-12
0.51171875,-39
0.515625,-64
0.51953125,-80
0.5234375,-89
0.52734375,-93
0.53125,-94
0.53515625,-89
0.5390625,-82
0.54296875,-71
0.546875,-52
0.55078125,-26
0.5546875,4
0.55859375,30
0.5625,49
0.56640625,59
0.5703125,58
0.57421875,47
0.578125,32
0.58203125,16
0.5859375,-3
0.58984375,-23
0.59375,-42
0.59765625,-57
0.6015625,-67
0.60546875,-72
0.609375,-70
0.61328125,-60
0.6171875,-43
0.62109375,-24
0.625,-4
0.62890625,16
0.6328125,34
0.63671875,48
0.640625,58
0.64453125,67
0.6484375,77
0.65234375,82
0.65625,81
0.66015625,74
0.6640625,63
0.66796875,45
0.671875,23
0.67578125,2
0.6796875,-15
0.68359375,-30
0.6875,-43
0.69140625,-54
0.6953125,-61
0.69921875,-66
0.703125,-72
0.70703125,-74
0.7109375,-74
0.71484375,-70
0.71875,-61
0.72265625,-47
0.7265625,-28
0.73046875,-6
0.734375,13
0.73828125,26
0.7421875,33
0.74609375,37
0.75,40
0.75390625,45
0.7578125,50
0.76171875,51
0.765625,43
0.76953125,27
0.7734375,6
0.77734375,-13
0.78125,-25
0.78515625,-29
0.7890625,-32
0.79296875,-35
0.796875,-38
0.80078125,-39
0.8046875,-36
0.80859375,-28
0.8125,-20
0.81640625,-11
0.8203125,-2
0.82421875,5
0.828125,15
0.83203125,33
0.8359375,57
0.83984375,79
0.84375,90
